date,n_holdings,nav,spy_sleeve_pct,entries,exits,stop_losses
2026-04-16,15,100000.0,0.03455869445800781,GLW|COHR|AMAT|LITE|INTC|LRCX|SNDK|MU|VRT|CIEN|WDC|STX|KEYS|TER|FIX,,
2026-04-20,15,99356.68,0.0,ALB|MRNA,,
2026-04-20,16,99427.68,6.768741301623695e-05,ALB|MRNA,,
2026-04-27,16,105255.83,0.0001002319138629452,GEV|ON,ALB,
2026-05-04,15,111535.64,0.03233271445790781,PWR|GEV|DOW,GLW|AMAT|LRCX|TER,
2026-05-20,16,116443.48,0.006310186103136689,GLW|AMD|TXN|SATS|DELL,INTC|KEYS|GEV|DOW,
2026-05-29,15,127294.86,0.017681389492081614,INTC|HPE|FTNT|LRCX,LITE|VRT|FIX|PWR|SATS,
2026-06-01,15,132541.1,0.005037001472609977,TER|DDOG|NTAP|PANW,COHR|GLW|TXN|INTC,
2026-06-01,15,132990.44,0.0,,,
2026-06-08,15,122123.57,0.012320471757558245,CNC|NUE|FFIV|FDX|STLD|JBHT|CSCO|HUM|HST|STT|EQIX|ODFL,SNDK|MU|CIEN|WDC|STX|ON|AMD|DELL|HPE|LRCX|TER|DDOG,
2026-06-15,18,124323.6,0.015193572517099631,AMAT|SNDK|WDC|INTC|AMD|KLAC|STX|LRCX|TER|MU,NTAP|FDX|JBHT|CSCO|HST|STT|EQIX,
2026-06-22,18,125218.79,0.0059716278185216855,FLEX,FFIV,
2026-06-29,15,127728.23,0.004176450128374661,HON|GLW|MRNA|GNRC,NUE|SNDK|WDC|STX|FLEX,STLD|ODFL
2026-07-13,15,118967.18,0.012642982506485718,MPC|FFIV|DELL|NTAP|GEV|CSCO|TRGP|DVA|VLO|DDOG|HPE,PANW|AMAT|INTC|KLAC|LRCX|TER|MU|MRNA,HON|GLW|GNRC
2026-07-20,15,120874.84,0.006139243014425862,CRWD|DOC|CVS|PSX|JBHT|STT|PANW,AMD|FFIV|NTAP|GEV|CSCO|HPE,DELL
2026-07-27,15,117055.9,0.007657451272971888,NTAP|TRV|DELL|WELL|CSX|BBY|HPE,FTNT|CNC|HUM|DDOG|CRWD|JBHT|PANW,
2026-08-03,17,117896.89,0.012632733444890383,HPQ|STX|GRMN|WDC|FTNT|HST|BAX|DDOG,TRGP|DOC|CVS|DELL|WELL|CSX,
2026-08-10,17,115839.24,0.016281702426074483,CRWD|PANW|ZBRA|COHR|DELL|CRL|LITE|CSCO|ANET|MRVL|INTC,MPC|VLO|PSX|TRV|BBY|STX|FTNT|HST,DVA|WDC|DDOG
2026-08-17,17,118539.12,0.01894155211742413,VLO|AMD|MPC|SNDK|STX|MU,STT|ZBRA|COHR|LITE|CSCO|ANET,
2026-08-24,15,109209.15,0.011732396003822873,HOOD|EXPE|PSX|ZBRA|ABNB|IQV|FDS|AXON|PYPL,NTAP|HPE|GRMN|BAX|PANW|DELL|AMD|SNDK|STX,CRWD|INTC
